tamil_text,english_text,label
"""சென்னை சூப்பர் கிங்ஸ் போட்டியில் வெற்றி பெற்றது""","Chennai Super Kings won the match","Sports"
"""இந்தியா அணி இறுதி ஓவரில் வெற்றி கண்டது""","India team secured victory in the final over","Sports"
"""கால்பந்து வீரர் இரண்டு கோல்கள் அடித்தார்""","The football player scored two goals","Sports"
"""மாநில அளவிலான தடகள போட்டி இன்று தொடங்கியது""","The state level athletics event started today","Sports"
"""பாராளுமன்றத்தில் புதிய மசோதா நிறைவேற்றப்பட்டது""","A new bill was passed in Parliament","Politics"
"""முதல்வர் இன்று வளர்ச்சி திட்டத்தை அறிவித்தார்""","The Chief Minister announced a development scheme today","Politics"
"""தேர்தல் பிரச்சாரம் நாளை முதல் தீவிரமாகும்""","Election campaigning will intensify from tomorrow","Politics"
"""அரசு புதிய வரி கொள்கையை வெளியிட்டது""","The government released a new tax policy","Politics"
"""தமிழ்நாட்டில் கனமழை பெய்து வருகிறது""","Heavy rain is falling in Tamil Nadu","Weather"
"""சென்னையில் வெப்பநிலை இன்று அதிகமாக இருந்தது""","The temperature was high in Chennai today","Weather"
"""வானிலை ஆய்வு மையம் புயல் எச்சரிக்கை விடுத்தது""","The weather center issued a cyclone warning","Weather"
"""மலைப்பகுதிகளில் கடும் குளிர் நிலவுகிறது""","Severe cold conditions prevail in the hill regions","Weather"
"""தேசிய நெடுஞ்சாலையில் பேருந்து விபத்து ஏற்பட்டது""","A bus accident occurred on the national highway","Accident"
"""கார் மரத்தில் மோதி இருவர் காயமடைந்தனர்""","Two people were injured when a car hit a tree","Accident"
"""ரயில் தடம் புரண்டதால் பலர் காயமடைந்தனர்""","Many people were injured after the train derailed","Accident"
"""தொழிற்சாலையில் வெடிப்பு ஏற்பட்டு தொழிலாளி காயமடைந்தார்""","A worker was injured in a factory explosion","Accident"
"""புதிய திரைப்படம் இந்த வாரம் வெளியானது""","The new movie was released this week","Entertainment"
"""பிரபல நடிகர் தனது அடுத்த படத்தை அறிவித்தார்""","The famous actor announced his next film","Entertainment"
"""இசை நிகழ்ச்சியில் ஆயிரக்கணக்கான ரசிகர்கள் கலந்து கொண்டனர்""","Thousands of fans attended the music event","Entertainment"
"""தொலைக்காட்சி தொடர் புதிய சீசனுடன் திரும்புகிறது""","The television series returns with a new season","Entertainment"
"""மாணவர்களுக்கு நாளை முதல் தேர்வு தொடங்குகிறது""","Exams for students begin tomorrow","Education"
"""பள்ளியில் அறிவியல் கண்காட்சி நடைபெற்றது""","A science exhibition was held at the school","Education"
"""பல்கலைக்கழகம் புதிய பாடத்திட்டத்தை அறிமுகப்படுத்தியது""","The university introduced a new syllabus","Education"
"""ஆசிரியர்கள் மாணவர்களுக்கு சிறப்பு பயிற்சி அளித்தனர்""","Teachers gave special coaching to students","Education"
"""நகரில் நகை கடையில் கொள்ளை நடந்தது""","A robbery took place at a jewelry shop in the city","Crime"
"""காவல்துறை குற்றவாளியை கைது செய்தது""","The police arrested the criminal","Crime"
"""வீட்டில் திருட்டு நடந்ததாக புகார் அளிக்கப்பட்டது""","A complaint was filed about a theft at a house","Crime"
"""மர்ம நபர்கள் வங்கியில் பணம் அபகரித்தனர்""","Unknown persons looted money from the bank","Crime"
